Analyse Political Party Returns - 2014-15,
Australian Labor Party (ALP), data exported: 29/Jun/2016 01:06,
PayerClientNm,PayerAddressLine1,PayerSuburb,PayerStateAb,PayerPostcode,AmountReceived,ReceiptTyDs,
"Ms Michelle Rowland MP","Federal Member for Greenway , PO Box 686","SEVEN HILLS","NSW","1730","1650","Other Receipt",
"Ms Michelle Rowland MP","Federal Member for Greenway , PO Box 686","SEVEN HILLS","NSW","1730","1002","Other Receipt",
"Ms Sharon Claydon MP","Federal Member for Newcastle , 427 Hunter Street","NEWCASTLE","NSW","2300","1974","Other Receipt",
"Ms Sharon Claydon MP","Federal Member for Newcastle , 427 Hunter Street","NEWCASTLE","NSW","2300","1650","Other Receipt",
"Ms Terri Butler MP","Federal Member for Griffith , PO Box 476","MORNINGSIDE","QLD","4170","2652","Other Receipt",
"MSD","Locked Bag 2234","NORTH RYDE","NSW","1670","22000","Subscription",
"MSD","Locked Bag 2234","NORTH RYDE","NSW","1670","1100","Other Receipt",
"NAB","800 Bourke St , Docklands","Melbourne","VIC","3008","1100","Other Receipt",
"National Australia Bank Limited","28/255 George Street","SYDNEY","NSW","2000","30800","Other Receipt",
"National Australia Bank Limited","28/255 George Street","SYDNEY","NSW","2000","1500","Other Receipt",
"National Australia Bank Limited","28/255 George Street","SYDNEY","NSW","2000","1100","Other Receipt",
"National Australia Bank Limited","28/255 George Street","Sydney","NSW","2000","1100","Other Receipt",
"National Australia Bank Limited","28/255 George Street","SYDNEY","NSW","2000","1100","Other Receipt",
"National Automotive Leasing and Salary Packaging Association","Locked Bag 32004 , Collins Street East","Melbourne","VIC","8003","10000","Subscription",
"National Automotive Leasing and Salary Packaging Association","Level 2, Building 3, 20 Bridge Street ,","Pymble","NSW","2073","1500","Other Receipt",
"National Automotive Leasing and Salary Packaging Association","Locked Bag 32004 , Collins Street East","Melbourne","VIC","8003","1100","Other Receipt",
"National Union of Workers (NSW Branch)","3-5 Bridge Street","GRANVILLE","NSW","2770","1100","Donation",
"National Union of Workers (NUW)","833 Bourke Street ,","DOCKLANDS","VIC","3008","20000","Donation",
"Navantia","PO Box 235 ,","DEAKIN WEST","ACT","2600","1100","Other Receipt",
"Network Ten","GPO Box 10 ,","Sydney","NSW","2001","1500","Other Receipt",
"Newgate Communications","Level 18, 90 collins Street ,","MELBOURNE","VIC","3000","8000","Other Receipt",
"Nine Network Australia","c/- Nine Entertainment Company , PO Box 27","WILLOUGHBY","NSW","2068","27500","Other Receipt",
"Novartis Pharmaceuticals Australia Pty Ltd","54 Waterloo Road","NORTH RYDE","NSW","2113","27500","Subscription",
"Novartis Pharmaceuticals Australia Pty Ltd","54 Waterloo Road","NORTH RYDE","NSW","2113","27500","Subscription",
"NRMA Limited","9A York Street ,","SYDNEY","NSW","2000","15000","Other Receipt",
"NSW Branch ALP","PO Box K408","Haymarket","NSW","1240","61902","Other Receipt",
"NSW Branch ALP","PO Box K408","Haymarket","NSW","1240","34796","Other Receipt",
"NSW Branch ALP","PO Box K408","Haymarket","NSW","1240","21115","Other Receipt",
"NSW Branch ALP","PO Box K408","Haymarket","NSW","1240","18421","Other Receipt",
"NSW Branch ALP","PO Box K408","Haymarket","NSW","1240","15098","Other Receipt",
"NSW Branch ALP","PO Box K408","Haymarket","NSW","1240","15098","Other Receipt",
"NSW Branch ALP","PO Box K408","Haymarket","NSW","1240","15098","Other Receipt",
"NSW Branch ALP","PO Box K408","Haymarket","NSW","1240","15083","Other Receipt",
"NSW Branch ALP","PO Box K408","Haymarket","NSW","1240","15083","Other Receipt",
"NSW Branch ALP","PO Box K408","Haymarket","NSW","1240","15083","Other Receipt",
"NSW Branch ALP","PO Box K408","Haymarket","NSW","1240","15083","Other Receipt",
"NSW Branch ALP","PO Box K408","Haymarket","NSW","1240","15065","Other Receipt",
"NSW Branch ALP","PO Box K408","Haymarket","NSW","1240","13677","Other Receipt",
"NT Branch ALP","The Territory Secretary , GPO Box 2026","Darwin","NT","0801","2856","Other Receipt",
"NT Branch ALP","The Territory Secretary , GPO Box 2026","Darwin","NT","0801","1605","Other Receipt",
"Ogilvy PR Health","Ogillvy House, Level 2 , 72 Christie St.","ST LEONARDS","NSW","2065","1500","Other Receipt",
"Origin Energy","GPO Box 186 ,","MELBOURNE","VIC","3001","27500","Subscription",
"Origin Energy","GPO Box 186 ,","MELBOURNE","VIC","3001","9500","Other Receipt",
"Origin Energy","GPO Box 186 ,","MELBOURNE","VIC","3001","8000","Other Receipt",
"Origin Energy","GPO Box 186 ,","MELBOURNE","VIC","3001","1100","Other Receipt",
"Pacific Equity Partners","Level 31 , 126 Philip Street","SYDNEY","NSW","2000","13750","Other Receipt",
"Pacific Equity Partners","Level 31 , 126 Philip Street","SYDNEY","NSW","2000","13750","Subscription",
"Pacific Hydro Australia","Level 11, 474 Flinders Street","MELBOURNE","VIC","3000","3300","Other Receipt",
"Parker & Partners","Level 2, 72 Christie St ,","ST LEONARDS","NSW","2065","2649","Other Receipt",
"Parker & Partners","Level 2, 72 Christie St ,","ST LEONARDS","NSW","2065","2647","Other Receipt",
"Parker & Partners","Level 2, 72 Christie St ,","ST LEONARDS","NSW","2065","2645","Other Receipt",
"Parker & Partners","Level 2, 72 Christie St ,","ST LEONARDS","NSW","2065","1133","Other Receipt",
"Pepper Group","Level 9, 146 Arthur Street ,","NORTH SYDNEY","NSW","2060","2000","Other Receipt",
"Perth Airport","PO Box 6","CLOVERDALE","WA","6985","27500","Subscription",
"Perth Airport","Level 2, 2 George Wiencke Drive (opposite Domestic Terminals) ,","PERTH AIRPORT","WA","6105","2597","Other Receipt",
"Pfizer Aust Pty Limited","38-42 Wharf Road ,","WEST RYDE","NSW","2114","22000","Subscription",
"Pfizer Aust Pty Limited","38-42 Wharf Road ,","WEST RYDE","NSW","2114","1100","Other Receipt",
"Pharmaceutical Companies of Johnson and Johnson","Ogillvy House, Level 2 , 72 Christie St.","ST LEONARDS","NSW","2065","2633","Other Receipt",
"PIVOT GROUP","P.O.BOX Z5045 ,","PERTH","WA","6831","2598","Other Receipt",
"PIVOT GROUP","P.O.BOX Z5044 ,","PERTH","WA","6831","1100","Other Receipt",
"PricewaterhouseCoopers","Freshwater Place , 2 Southbank Boulevard","SOUTHBANK","VIC","3006","27500","Subscription",
"PricewaterhouseCoopers","Freshwater Place , 2 Southbank Boulevard","SOUTHBANK","VIC","3006","2500","Other Receipt",
"Private Healthcare Australia","Unit 17G, Level 1 , 2 King Street","Deakin","ACT","2600","8000","Other Receipt",
"PROBUILD","Level 10, 580 St Kilda","MELBOURNE","VIC","3004","5500","Other Receipt",
"Property Council of Australia","Level 1 , 11 Barrack Street","Sydney","NSW","2000","10000","Other Receipt",
"Property Council of Australia","Level 1, 11 Barrack Street","SYDNEY","NSW","2000","8500","Other Receipt",
"Property Council of Australia","Level 1, 11 Barrack Street","SYDNEY","NSW","2000","1100","Other Receipt",
"Property Council of Australia","Level 1 AMP Building , 1 Hobart Place","Canberra","ACT","2600","1100","Other Receipt",
"Property Council of Australia","Level 1 AMP Building , 1 Hobart Place","Canberra","ACT","2600","1100","Other Receipt",
"Property Council of Australia","Level 1 , 11 Barrack Street","Sydney","NSW","2000","1100","Other Receipt",
"QLD Branch ALP","The State Secretary , PO Box 5032","West End","QLD","4101","58080","Other Receipt",
"QLD Branch ALP","The State Secretary , PO Box 5032","West End","QLD","4101","18905","Other Receipt",
"QLD Branch ALP","The State Secretary , PO Box 5032","West End","QLD","4101","10700","Other Receipt",
"QLD Branch ALP","The State Secretary , PO Box 5032","West End","QLD","4101","9830","Other Receipt",
"QLD Branch ALP","The State Secretary , PO Box 5032","West End","QLD","4101","9301","Other Receipt",
"QLD Branch ALP","The State Secretary , PO Box 5032","West End","QLD","4101","9301","Other Receipt",
"QLD Branch ALP","The State Secretary , PO Box 5032","West End","QLD","4101","9301","Other Receipt",
"QLD Branch ALP","The State Secretary , PO Box 5032","West End","QLD","4101","9281","Other Receipt",
"QLD Branch ALP","The State Secretary , PO Box 5032","West End","QLD","4101","9281","Other Receipt",
"QLD Branch ALP","The State Secretary , PO Box 5032","West End","QLD","4101","9244","Other Receipt",
"QLD Branch ALP","The State Secretary , PO Box 5032","West End","QLD","4101","9244","Other Receipt",
"QLD Branch ALP","The State Secretary , PO Box 5032","West End","QLD","4101","9244","Other Receipt",
"QLD Branch ALP","The State Secretary , PO Box 5032","West End","QLD","4101","8577","Other Receipt",
"QLD Branch ALP","The State Secretary , PO Box 5032","West End","QLD","4101","8577","Other Receipt",
"QLD Branch ALP","The State Secretary , PO Box 5032","West End","QLD","4101","6470","Other Receipt",
"QLD Branch ALP","The State Secretary , PO Box 5032","West End","QLD","4101","4850","Other Receipt",
"QLD Branch ALP","The State Secretary , PO Box 5032","West End","QLD","4101","4561","Other Receipt",
"QLD Branch ALP","The State Secretary , PO Box 5032","West End","QLD","4101","3785","Other Receipt",
"QLD Branch ALP","The State Secretary , PO Box 5032","West End","QLD","4101","2126","Other Receipt",
"Randwick Labor Club","135 Alison Road","RANDWICK","NSW","2031","5500","Other Receipt",
"ReachTEL","Level 6, 303 Coronation Drive ,","MILTON","QLD","4064","5500","Subscription",
"Rheem Australia","1 Alan Street ,","RYDALMERE","NSW","2116","10000","Other Receipt",
"Rheem Australia","1 Alan Street ,","RYDALMERE","NSW","2116","8500","Other Receipt",
"Roadshow Entertainment","Level 4, 235 Pyrmont Street ,","PYRMONT","NSW","2009","8000","Other Receipt",
"Roche Australia","4-10 Inman Road ,","DEE WHY","NSW","2099","19800","Subscription",
"Rod Slater's Eurocars","69 Burswood rd ,","Burswood","WA","6100","2602","Other Receipt",
"Rod Slater's Eurocars","69 Burswood rd ,","Burswood","WA","6100","1100","Other Receipt",
"SA Branch ALP","The State Secretary , 141-145 Gilles Street","Adelaide","SA","5000","20000","Other Receipt",
"SA Branch ALP","The State Secretary , 141-145 Gilles Street","Adelaide","SA","5000","16782","Other Receipt",
"SA Branch ALP","The State Secretary , 141-145 Gilles Street","Adelaide","SA","5000","10828","Other Receipt",
"SA Branch ALP","The State Secretary , 141-145 Gilles Street","Adelaide","SA","5000","7208","Other Receipt",
"SA Branch ALP","The State Secretary , 141-145 Gilles Street","Adelaide","SA","5000","6582","Other Receipt",
"SA Branch ALP","The State Secretary , 141-145 Gilles Street","Adelaide","SA","5000","5198","Other Receipt",
"SA Branch ALP","The State Secretary , 141-145 Gilles Street","Adelaide","SA","5000","3604","Other Receipt",
"SA Branch ALP","The State Secretary , 141-145 Gilles Street","Adelaide","SA","5000","3592","Other Receipt",
"SA Branch ALP","The State Secretary , 141-145 Gilles Street","Adelaide","SA","5000","3592","Other Receipt",
"SA Branch ALP","The State Secretary , 141-145 Gilles Street","Adelaide","SA","5000","3592","Other Receipt",
"SA Branch ALP","The State Secretary , 141-145 Gilles Street","Adelaide","SA","5000","3562","Other Receipt",
"SA Branch ALP","The State Secretary , 141-145 Gilles Street","Adelaide","SA","5000","3562","Other Receipt",
"SA Branch ALP","The State Secretary , 141-145 Gilles Street","Adelaide","SA","5000","3562","Other Receipt",
"Santos Limited","Level 22, Gateway Building, 1 Macquarie Place","SYDNEY","NSW","2000","27500","Subscription",
"Santos Limited","Level 22, Gateway Building, 1 Macquarie Place","SYDNEY","NSW","2000","6566","Other Receipt",
"Santos Limited","Level 22, Gateway Building , 1 Macquarie Place","SYDNEY","NSW","2000","5500","Other Receipt",
"Sarina Russo","GPO Box 856 ,","Brisbane","QLD","4000","1100","Other Receipt",
"Sarina Russo","GPO Box 856 ,","Brisbane","QLD","4000","1100","Other Receipt",
"Satterley","18 Bowman St ,","South Perth","WA","6164","2612","Other Receipt",
"Satterley","18 Bowman St ,","South Perth","WA","6164","1100","Other Receipt",
"SBS TV","Press Gallery","Parliament House","ACT","2600","1133","Other Receipt",
"Sean Tomlinson","","","","","150000","Donation",
"Sean Tomlinson","","","","","110000","Subscription",
"Sean Tomlinson","","","","","3300","Other Receipt",
"Senator  Lisa Singh","Labor Senator for Tasmania , 152 Macquarie Street","HOBART","TAS","7000","1650","Other Receipt",
"Senator Alex Gallacher","Labor Senator for South Australia , 265 Churchill Road","PROSPECT","SA","5082","1650","Other Receipt",
"Senator Alex Gallacher","Labor Senator for South Australia , 265 Churchill Road","PROSPECT","SA","5082","1002","Other Receipt",
"Senator Anne McEwen","","","","","1650","Other Receipt",
"Senator Anne McEwen","","","","","1002","Other Receipt",
"Senator Anne Urquhart","Labor Senator for Tasmania , PO Box 360","DEVONPORT","TAS","7310","1650","Other Receipt",
"Senator Anne Urquhart","Labor Senator for Tasmania , PO Box 360","DEVONPORT","TAS","7310","1002","Other Receipt",
"Senator Carol Brown","Labor Senator for Tasmania , GPO Box 376","HOBART","TAS","7001","1650","Other Receipt",
"Senator Carol Brown","Labor Senator for Tasmania , GPO Box 376","HOBART","TAS","7001","1002","Other Receipt",
"Senator Catryna Bilyk","Labor Senator for Tasmania , PO Box 320","KINGSTON","TAS","7050","1650","Other Receipt",
"Senator Chris Ketter","Labor Senator for Queensland , PO Box 2246","STRATHPINE CENTRE","QLD","4500","1650","Other Receipt",
"Senator Chris Ketter","Labor Senator for Queensland , PO Box 2246","STRATHPINE CENTRE","QLD","4500","1002","Other Receipt",
"Senator Claire Moore","Labor Senator for Queensland , PO Box 907","FORTITUDE VALLEY PO","QLD","4006","1650","Other Receipt",
"Senator Claire Moore","Labor Senator for Queensland , PO Box 907","FORTITUDE VALLEY PO","QLD","4006","1002","Other Receipt",
"Senator Deborah O'Neill","Labor Senator for NSW , Suite 3.12, The Platinum Building, 4 Ilya Avenue","ERINA","NSW","2250","3722","Other Receipt",
"Senator Deborah O'Neill","Labor Senator for NSW , Suite 3.12, The Platinum Building, 4 Ilya Avenue","ERINA","NSW","2250","1002","Other Receipt",
"Senator Gavin Marshall","Labor Senator for Victoria , 376 Victoria Street","NORTH MELBOURNE","VIC","3051","1650","Other Receipt",
"Senator Gavin Marshall","Labor Senator for Victoria , 376 Victoria Street","NORTH MELBOURNE","VIC","3051","1002","Other Receipt",
"Senator Glenn Sterle","Labor Senator for Western Australia , Mailpoint 22, Market City, 280 Bannister Road","CANNING VALE","WA","6155","1650","Other Receipt",
"Senator Glenn Sterle","Labor Senator for Western Australia , Mailpoint 22, Market City, 280 Bannister Road","CANNING VALE","WA","6155","1002","Other Receipt",
"Senator Helen Polley","Labor Senator for Tasmania , PO Box 1223","LAUNCESTON","TAS","7250","1650","Other Receipt",
"Senator Helen Polley","Labor Senator for Tasmania , PO Box 1223","LAUNCESTON","TAS","7250","1002","Other Receipt",
"Senator Joe Bullock","Labor Senator for Western Australia , PO Box 571","VICTORIA PARK","WA","6979","1650","Other Receipt",
"Senator Joe Bullock","Labor Senator for Western Australia , PO Box 571","VICTORIA PARK","WA","6979","1002","Other Receipt",
"Senator Susan Lines","Labor Senator for Western Australia , PO Box 1322","WEST PERTH","WA","6872","1650","Other Receipt",
"Senator Susan Lines","Labor Senator for Western Australia , PO Box 1322","WEST PERTH","WA","6872","1002","Other Receipt",
"Senator The Hon Doug Cameron","Labor Senator for New South Wales , PO Box 322","SPRINGWOOD","NSW","2777","1650","Other Receipt",
"Senator The Hon Doug Cameron","Labor Senator for New South Wales , PO Box 322","SPRINGWOOD","NSW","2777","1002","Other Receipt",
"Senator the Hon Jacinta Collins","Labor Senator for Victoria , Ground, 1013 Whitehorse Rd","BOX HILL","VIC","3128","1650","Other Receipt",
"Senator the Hon Jacinta Collins","Labor Senator for Victoria , Ground, 1013 Whitehorse Rd","BOX HILL","VIC","3128","1002","Other Receipt",
"Senator The Hon Jan McLucas","Labor Senator for Queensland , PO Box 2733","CAIRNS","QLD","4870","1500","Other Receipt",
"Senator The Hon Jan McLucas","Labor Senator for Queensland , PO Box 2733","CAIRNS","QLD","4870","1002","Other Receipt",
"Senator The Hon Joe Ludwig","Labor Senator for Queensland , GPO Box 2477","BRISBANE","QLD","4001","1650","Other Receipt",
"Senator the Hon John Faulkner","Labor Senator for New South Wales , Suite 1, 1 Park Avenue","DRUMMOYNE","NSW","2047","1650","Other Receipt",
"Senator the Hon John Faulkner","Labor Senator for New South Wales , Suite 1, 1 Park Avenue","DRUMMOYNE","NSW","2047","1002","Other Receipt",
"Senator the Hon Kate Lundy","","","","","3300","Other Receipt",
"Senator The Hon Kim Carr","Labor Senator for Victoria , 62 Lygon Street","CARLTON SOUTH","VIC","3053","1650","Other Receipt",
"Senator The Hon Kim Carr","Labor Senator for Victoria , 62 Lygon Street","CARLTON SOUTH","VIC","3053","1002","Other Receipt",
"Senator the Hon Penny Wong","Labor Senator for South Australia , PO Box 6237","ADELAIDE","SA","5000","1650","Other Receipt",
"Senator the Hon Penny Wong","Labor Senator for South Australia , PO Box 6237","ADELAIDE","SA","5000","1002","Other Receipt",
"Senator The Hon Stephen Conroy","Labor Senator for Victoria , PO Box 3162","NEWPORT WEST","VIC","3015","1974","Other Receipt",
"Senator The Hon Stephen Conroy","Labor Senator for Victoria , PO Box 3162","NEWPORT WEST","VIC","3015","1650","Other Receipt",
"Senator The Hon Stephen Conroy","Labor Senator for Victoria , PO Box 3162","NEWPORT WEST","VIC","3015","1002","Other Receipt",
"Shed Enterprises","Managing Director , PO Box 688","WOOLLAHRA","NSW","2025","8000","Other Receipt",
"Shed Enterprises","Managing Director , PO Box 688","WOOLLAHRA","NSW","2025","2661","Other Receipt",
"Shed Enterprises","Managing Director , PO Box 688","WOOLLAHRA","NSW","2025","1100","Other Receipt",
"Shell Australia","Level 15, Waterfront Place, I Eagle St","BRISBANE","QLD","4000","17000","Other Receipt",
"Shop, Distributive & Allied Employees' Association","National Office , Level 6, 53 Queen Street","MELBOURNE","VIC","3000","10000","Donation",
"Shop, Distributive & Allied Employees' Association","National Office , Level 6, 53 Queen Street","MELBOURNE","VIC","3000","5000","Donation",
"Slater & Gordon Lawyers","485 La Trobe Street","MELBOURNE","VIC","3000","25000","Donation",
"Solar Citizens","PO Box 360","NEWTOWN","NSW","2402","1499","Other Receipt",
"Sonenco Apartments","10 River Road","WEST PARRAMATTA","NSW","2150","6600","Other Receipt",
"South Sydney Junior Rugby League Club","558A Anzac Parade ,","KINGSFORD","NSW","2032","3300","Other Receipt",
"St Baker Enterprises Pty Ltd","Trevor St Baker , PO Box 7152","BRISBANE","QLD","4001","2200","Other Receipt",
"Suncorp","Suncorp Place, 18 Jamison Street","SYDNEY","NSW","2000","28325","Other Receipt",
"Suncorp","Suncorp Place, 18 Jamison Street","SYDNEY","NSW","2000","8000","Other Receipt",
"Swisse Wellness","36-38 Gipps Street ,","COLLINGWOOD","VIC","3066","27500","Subscription",
"Sydney Markets Limited","PO Box 2","SYDNEY MARKETS","NSW","2129","5500","Other Receipt",
"Sydney Markets Limited","PO Box 2","SYDNEY MARKETS","NSW","2129","4000","Other Receipt",
"TAS Branch ALP","The State Secretary , PO Box 1115","Hobart","TAS","7001","8024","Other Receipt",
"TAS Branch ALP","The State Secretary , PO Box 1115","Hobart","TAS","7001","7421","Other Receipt",
"TAS Branch ALP","The State Secretary , PO Box 1115","Hobart","TAS","7001","5836","Other Receipt",
"TAS Branch ALP","The State Secretary , PO Box 1115","Hobart","TAS","7001","1116","Other Receipt",
"TAS Branch ALP","The State Secretary , PO Box 1115","Hobart","TAS","7001","1116","Other Receipt",
"TAS Branch ALP","The State Secretary , PO Box 1115","Hobart","TAS","7001","1085","Other Receipt",
"TAS Branch ALP","The State Secretary , PO Box 1115","Hobart","TAS","7001","1085","Other Receipt",
"TAS Branch ALP","The State Secretary , PO Box 1115","Hobart","TAS","7001","1041","Other Receipt",
"TAS Branch ALP","The State Secretary , PO Box 1115","Hobart","TAS","7001","1041","Other Receipt",
"TAS Branch ALP","The State Secretary , PO Box 1115","Hobart","TAS","7001","1041","Other Receipt",
"TAS Branch ALP","The State Secretary , PO Box 1115","Hobart","TAS","7001","1039","Other Receipt",
"TAS Branch ALP","The State Secretary , PO Box 1115","Hobart","TAS","7001","1039","Other Receipt",
"TAS Branch ALP","The State Secretary , PO Box 1115","Hobart","TAS","7001","1025","Other Receipt",
"Telstra Corporation","PO Box 6308 ,","Kingston","ACT","2604","7500","Other Receipt",
"Telstra Corporation","PO Box 6308 ,","Kingston","ACT","2604","7500","Other Receipt",
"Telstra Corporation","PO Box  6308","Kingston","ACT","2604","6566","Other Receipt",
"Telstra Corporation","PO Box  6308","Kingston","ACT","2604","6566","Other Receipt",
"Telstra Corporation","PO Box 6308 ,","Kingston","ACT","2604","1500","Other Receipt",
"The Hon Alan Griffin MP","Federal Member for Bruce , PO Box 1034","WAVERLEY GARDENS","VIC","3170","1650","Other Receipt",
"The Hon Alan Griffin MP","Federal Member for Bruce , PO Box 1034","WAVERLEY GARDENS","VIC","3170","1002","Other Receipt",
"The Hon Alannah MacTiernan","Federal Member for Perth , PO Box 901","INGLEWOOD","WA","6932","1650","Other Receipt",
"The Hon Alannah MacTiernan","Federal Member for Perth , PO Box 901","INGLEWOOD","WA","6932","1002","Other Receipt",
"The Hon Amanda Rishworth MP","Federal Member for Kingston , 232 Main South Road","MORPHETT VALE","SA","5162","1650","Other Receipt",
"The Hon Amanda Rishworth MP","Federal Member for Kingston , 232 Main South Road","MORPHETT VALE","SA","5162","1002","Other Receipt",
"The Hon Anthony Albanese MP","Member for Grayndler , 334a Marrickville Road","MARRICKVILLE","NSW","2204","1650","Other Receipt",
"The Hon Anthony Albanese MP","Member for Grayndler , 334a Marrickville Road","MARRICKVILLE","NSW","2204","1002","Other Receipt",
"The Hon Bernie Ripoll MP","Federal Member for Oxley , PO Box 4042","FOREST LAKE","QLD","4078","1650","Other Receipt",
"The Hon Bernie Ripoll MP","Federal Member for Oxley , PO Box 4042","FOREST LAKE","QLD","4078","1002","Other Receipt",
"The Hon Bill Shorten MP","Federal Member for Maribyrnong , PO Box 214","MOONEE PONDS","VIC","3039","1650","Other Receipt",
"The Hon Bill Shorten MP","Federal Member for Maribyrnong , PO Box 214","MOONEE PONDS","VIC","3039","1002","Other Receipt",
"The Hon Brendan O'Connor MP","","","","","1650","Other Receipt",
"The Hon Brendan O'Connor MP","","","","","1002","Other Receipt",
"The Hon Catherine King MP","Federal Member for Ballarat , 5 Lydiard Street","NORTH BALLARAT","VIC","3350","1650","Other Receipt",
"The Hon Catherine King MP","Federal Member for Ballarat , 5 Lydiard Street","NORTH BALLARAT","VIC","3350","1002","Other Receipt",
"The Hon Chris Bowen MP","Federal Member for McMahon , PO Box W210","FAIRFIELD","NSW","2165","1650","Other Receipt",
"The Hon Chris Bowen MP","Federal Member for McMahon , PO Box W210","FAIRFIELD","NSW","2165","1650","Other Receipt",
"The Hon Chris Bowen MP","Federal Member for McMahon , PO Box W210","FAIRFIELD","NSW","2165","1002","Other Receipt",
"The Hon David Feeney MP","Federal Member for Batman , 159 High Street","PRESTON","VIC","3072","1974","Other Receipt",
"The Hon David Feeney MP","Federal Member for Batman , 159 High Street","PRESTON","VIC","3072","1650","Other Receipt",
"The Hon Dr Andrew Leigh","Federal Member for Fraser , Unit 8/1 Torrens Street","BRADDON","ACT","2612","1650","Other Receipt",
"The Hon Ed Husic MP","Federal Member for Chifley , PO Box 259","MT DRUITT","NSW","2770","2652","Other Receipt",
"The Hon Gary Gray AO MP","Federal Member for Brand , 1/15 Kent Street","ROCKINGHAM","WA","6168","1650","Other Receipt",
"The Hon Gary Gray AO MP","Federal Member for Brand , 1/15 Kent Street","ROCKINGHAM","WA","6168","1002","Other Receipt",
"The Hon Jason Clare MP","Federal Member for Blaxland , PO Box 153","BANKSTOWN","NSW","1885","1974","Other Receipt",
"The Hon Jason Clare MP","Federal Member for Blaxland , PO Box 153","BANKSTOWN","NSW","1885","1650","Other Receipt",
"The Hon Jenny Macklin MP","Federal Member for Jaga Jaga , PO Box 316","HEIDELBERG","VIC","3084","1650","Other Receipt",
"The Hon Joel Fitzgibbon MP","Federal Member for Hunter , PO Box 526","CESSNOCK","NSW","2325","1650","Other Receipt",
"The Hon Joel Fitzgibbon MP","Federal Member for Hunter , PO Box 526","CESSNOCK","NSW","2325","1002","Other Receipt",
"The Hon Julie Collins MP","Federal Member for Franklin , PO Box 38","ROSNY PARK","TAS","7018","1650","Other Receipt",
"The Hon Julie Collins MP","Federal Member for Franklin , PO Box 38","ROSNY PARK","TAS","7018","1002","Other Receipt",
"The Hon Justine Elliot MP","Federal Member for Richmond , PO Box 6996","TWEED HEADS SOUTH","NSW","2486","1650","Other Receipt",
"The Hon Justine Elliot MP","Federal Member for Richmond , PO Box 6996","TWEED HEADS SOUTH","NSW","2486","1002","Other Receipt",
"The Hon Kate Ellis MP","Federal Member for Adelaide , 161 Main North Road","NAILSWORTH","SA","5083","1650","Other Receipt",
"The Hon Kate Ellis MP","Federal Member for Adelaide , 161 Main North Road","NAILSWORTH","SA","5083","1002","Other Receipt",
"The Hon Kelvin Thomson MP","Federal Member for Wills , 3 Munro Street","COBURG","VIC","3058","1650","Other Receipt",
"The Hon Kelvin Thomson MP","Federal Member for Wills , 3 Munro Street","COBURG","VIC","3058","1002","Other Receipt",
"The Hon Laurie Brereton","8 Pottinger St","DAWES POINT","NSW","2000","1100","Other Receipt",
"The Hon Mark Butler MP","Federal Member Port Adelaide , PO Box 2038","PORT ADELAIDE","SA","5015","1650","Other Receipt",
"The Hon Mark Butler MP","Federal Member Port Adelaide , PO Box 2038","PORT ADELAIDE","SA","5015","1002","Other Receipt",
"The Hon Mark Dreyfus QC MP","Federal Member for Isaacs , Shop 6, Parkmore Shopping Centre","KEYSBOROUGH","VIC","3173","1650","Other Receipt",
"The Hon Mark Dreyfus QC MP","Federal Member for Isaacs , Shop 6, Parkmore Shopping Centre","KEYSBOROUGH","VIC","3173","1002","Other Receipt",
"The Hon Matthew Thistlethwaite MP","Federal Member for Kingsford Smith , PO Box 895","MAROUBRA","NSW","2035","1650","Other Receipt",
"The Hon Matthew Thistlethwaite MP","Federal Member for Kingsford Smith , PO Box 895","MAROUBRA","NSW","2035","1100","Other Receipt",
"The Hon Melissa Parke MP","Federal Member for Fremantle , PO Box 1224","FREMANTLE","WA","6959","1650","Other Receipt",
"The Hon Melissa Parke MP","Federal Member for Fremantle , PO Box 1224","FREMANTLE","WA","6959","1002","Other Receipt",
"The Hon Michael Danby MP","Federal Member for Melbourne Ports , PO Box 2086","ST KILDA WEST","VIC","3182","1650","Other Receipt",
"The Hon Michael Danby MP","Federal Member for Melbourne Ports , PO Box 2086","ST KILDA WEST","VIC","3182","1650","Other Receipt",
"The Hon Richard Marles MP","Federal Member for Corio , 17A Yarra Street","GEELONG","VIC","3220","1650","Other Receipt",
"The Hon Richard Marles MP","Federal Member for Corio , 17A Yarra Street","GEELONG","VIC","3220","1002","Other Receipt",
"The Hon Sharon Bird MP","Federal Member for Cunningham , PO Box 387","WOLLONGONG","NSW","2500","1650","Other Receipt",
"The Hon Sharon Bird MP","Federal Member for Cunningham , PO Box 387","WOLLONGONG","NSW","2500","1002","Other Receipt",
"The Hon Shayne Neumann MP","Federal Member for Blair , PO Box 5117","BRASSALL","QLD","4305","1650","Other Receipt",
"The Hon Shayne Neumann MP","Federal Member for Blair , PO Box 5117","BRASSALL","QLD","4305","1002","Other Receipt",
"The Hon Tanya Plibersek MP","Federal Member for Sydney , 150 Broadway","BROADWAY","NSW","2007","1650","Other Receipt",
"The Hon Tanya Plibersek MP","Federal Member for Sydney , 150 Broadway","BROADWAY","NSW","2007","1002","Other Receipt",
"The Hon Tony Burke MP","Federal Member for Watson , PO Box 156","ROSELANDS","NSW","2196","1650","Other Receipt",
"The Hon Tony Burke MP","Federal Member for Watson , PO Box 156","ROSELANDS","NSW","2196","1002","Other Receipt",
"The Hon Warren Snowdon MP","Federal Member of Lingiari , PO Box 4007","ALICE SPRINGS","NT","0871","1650","Other Receipt",
